desired_velocity,relaxation_time,radius,private_zone_radius,repulsion_coefficient,falloff_length,body_force_constant,friction_coefficient,random_force,waypoint_update_distance,waypoint_update_interval,collision_avoidance,agent_count,evacuation_time
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.968836999999999
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.967903
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.327911
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.967903
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.935903999999999
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.951903
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.679907
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.871903999999999
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.1919
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.2399
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.967903
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.903903999999999
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.079902
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.919903999999999
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.775905999999999
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.527896
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.967903
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.2399
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.783892999999999
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.671894
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.935903999999999
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.047902
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.903903999999999
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.999903
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.1919
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.823905
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.599908000000001
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.695907
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.047902
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.903903999999999
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.527896
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.567908000000001
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.935903999999999
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.951903
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.439910000000001
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.031902
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.647907
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.127901
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.095901
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.791905
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.343911
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.855905
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.159901
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.951903
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.407910000000001
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.255899000000001
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.2239
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.159901
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.431897
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.127901
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.143901
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.031902
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.935903999999999
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.951903
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.951903
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.095901
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.775905999999999
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.279912
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.199913
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.919903999999999
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.951903
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,10.895916999999999
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.823905
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.2239
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.615908000000001
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.951903
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.079902
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,12.031902
1.5,0.15,0.225,0.32,5.0,0.4,900.0,0.0,0.1,0.5,1.0,0.25,60.0,11.935903999999999
