desired_velocity,relaxation_time,radius,private_zone_radius,repulsion_coefficient,falloff_length,body_force_constant,friction_coefficient,random_force,waypoint_update_distance,waypoint_update_interval,collision_avoidance,agent_count,evacuation_time
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.790653
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,14.191875
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.679881
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,14.031877
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.231887
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.967877
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,14.975864000000001
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,14.335873000000001
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.583882000000001
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,14.927864999999999
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,14.911864999999999
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.471884
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.375885
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,14.479871
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,14.143875
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.231887
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.455884
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.791879999999999
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.919878
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.583882000000001
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.647882000000001
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,14.207873999999999
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,14.383872
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.775879999999999
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.471884
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.887878
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,14.863866
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.855879000000002
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.583882000000001
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.423884
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.983877
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.583882000000001
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,14.767867
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.695881
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.519882999999998
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.407885
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.823879000000002
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.919878
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,14.127875
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.791879999999999
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.487884
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,15.375859
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.295886
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,14.399872
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.679881
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.935878
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,14.383872
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.951878
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.679881
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,14.095876
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.807879000000002
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.551882999999998
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.743879999999999
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,13.919878
1.5,0.15,0.225,0.32,0.0,0.4,900.0,400.0,0.1,0.5,1.0,0.25,60.0,15.055863
